code,Name,News_size,Market_cap,Shares_outstanding,Positive,Negitive,None
1216,UNI,214,"378,422.199","5,682,015,421",143,53,1080
6278,TSMT,214,"32,748.576","292,398,353",88,118,1070
5347,VIS,208,"236,832.937582","1,638,982,267",141,43,1092
1101,TCC,206,"295,462.735","6,123,580,010",139,45,1092
9958,CIAS,206,"26,096.333","230,941,856",86,98,1092
2367,UNITECH,206,"11,211.2667","619,407,175",107,58,1111
6116,Hannstar,206,"42,683.3226","3,027,186,851",106,79,1091
2376,GIGABYTE,205,"71,514.9","635,688,886",131,54,1091
2379,RT,202,"254,831.316","510,684,875",137,46,1093
3504,Young Optics,200,"14,941.729","114,059,785",64,132,1080
2448,-,200,-,-,0,0,0
6414,ENNOCONN,196,"17,813.408","96,812,019",135,41,1100
3563,MACHVISION,194,"10,466.352","44,728,234",133,37,1106
6510,CHPT,191,"26,001.694446","32,789,022",130,42,1103
3708,Swancor,189,"9,228.8448","93,504,604",109,55,1111
2801,C.H.B,187,"172,012.548","10,488,570,842",109,59,1108
2727,WOWPRIME,180,"11,086.128","76,987,883",123,31,1122
5478,SOFT-WORLD,179,"11,396.205281","127,474,332",119,30,1127
2201,YL,179,"41,100","1,000,000,000",131,32,1113
1605,WALSIN,173,"89,043.0654","3,431,332,948",112,44,1120
6547,MVC,173,"51,092.76","212,492,000",79,68,1128
3702,WPG,172,"87,143.0064","1,679,056,833",100,57,1119
8069,EIH,171,"104,803.193309","1,140,404,715",132,27,1117
2439,MERRY,171,"17,853.5934","211,197,642",103,49,1124
1477,Makalot,168,"58,650.08","241,856,581",115,37,1124
5820,JIHSUN FHC,167,"49,041.879653","3,772,452,281",71,82,1123
1476,ECLAT,166,"166,540.769","274,367,111",108,43,1125
3324,AURAS,165,"14,098.857674","88,394,092",105,34,1137
2227,YNM,163,"76,200","300,000,000",111,42,1123
4979,LuxNet,162,"2,335.98251","132,726,279",80,64,1132
1504,TECO,161,"64,484.6994","2,138,796,616",117,25,1134
3019,ASIA,159,"24,875.8455","281,083,901",86,51,1139
1760,-,158,-,-,64,81,1131
6244,MOTECH,158,"11,396.844188","355,041,875",78,64,1134
3441,UNIQUE,157,"1,669.664664","40,039,920",42,114,1120
1536,HOTA,156,"26,190.7429","279,517,513",95,38,1143
1319,OTN,155,"19,991.9226","591,477,068",101,41,1134
2031,Hkssteel,154,"18,690.6972","321,146,341",50,94,1132
3006,ESMT,149,"40,776.375","286,156,953",62,80,1134
2615,WANHAI,148,"390,420.32","2,440,127,212",92,46,1138
6180,GAMANIA,148,"10,125.979162","175,493,573",90,38,1148
1314,CPDC,146,"39,746.685","3,284,850,130",91,43,1142
2707,GFRT,146,"18,919.0485","127,403,238",111,25,1140
3085,NEWRETAIL,146,528.424347,"48,038,577",118,15,1142
2636,T3EX,145,"18,673.008","144,752,230",92,41,1142
2354,FTC,145,"97,316.568","1,414,485,192",77,49,1150
2345,ACCTON,145,"136,320.553","559,838,397",95,39,1142
